"No.","Time","Source","Destination","Protocol","Length","Info"
"36","43.945152","127.0.0.1","127.0.0.1","TCP","44","60342  >  60332 [ACK] Seq=959 Ack=1620 Win=63744 Len=0"
"37","43.945220","127.0.0.1","127.0.0.1","TLSv1.3","88","Application Data"
"38","43.945238","127.0.0.1","127.0.0.1","TLSv1.3","75","Application Data"
"39","43.945256","127.0.0.1","127.0.0.1","TCP","44","60332  >  60342 [ACK] Seq=1664 Ack=990 Win=64512 Len=0"
"40","43.945263","127.0.0.1","127.0.0.1","TCP","44","60342  >  60332 [ACK] Seq=990 Ack=1664 Win=63744 Len=0"
"41","43.947071","127.0.0.1","127.0.0.1","TCP","451","60341  >  60331 [PSH, ACK] Seq=408 Ack=156 Win=65280 Len=407 [TCP PDU reassembled in 47]"
"42","43.947071","127.0.0.1","127.0.0.1","TLSv1.3","135","Application Data"
"43","43.947105","127.0.0.1","127.0.0.1","TCP","44","60331  >  60341 [ACK] Seq=156 Ack=815 Win=64512 Len=0"
"44","43.947106","127.0.0.1","127.0.0.1","TCP","44","60342  >  60332 [ACK] Seq=990 Ack=1755 Win=63744 Len=0"
"45","43.947144","127.0.0.1","127.0.0.1","TLSv1.3","98","Application Data"
"46","43.947155","127.0.0.1","127.0.0.1","TCP","44","60342  >  60332 [ACK] Seq=990 Ack=1809 Win=63488 Len=0"
"47","43.947687","127.0.0.1","127.0.0.1","HTTP","6990","POST /exa.extension_server_pb.ExtensionServerService/UpdateCascadeTrajectorySummaries HTTP/1.1  (application/proto)"
"48","43.947715","127.0.0.1","127.0.0.1","TCP","44","60331  >  60341 [ACK] Seq=156 Ack=7761 Win=57600 Len=0"
"49","43.957892","127.0.0.1","127.0.0.1","HTTP","199","HTTP/1.1 200 OK "
"50","43.957931","127.0.0.1","127.0.0.1","TCP","44","60341  >  60331 [ACK] Seq=7761 Ack=311 Win=65024 Len=0"
"51","43.966092","127.0.0.1","127.0.0.1","TCP","452","60341  >  60331 [PSH, ACK] Seq=7761 Ack=311 Win=65024 Len=408 [TCP PDU reassembled in 53]"
"52","43.966124","127.0.0.1","127.0.0.1","TCP","44","60331  >  60341 [ACK] Seq=311 Ack=8169 Win=57344 Len=0"
"53","43.966172","127.0.0.1","127.0.0.1","HTTP","10616","POST /exa.extension_server_pb.ExtensionServerService/UpdateCascadeTrajectorySummaries HTTP/1.1  (application/proto)"
"54","43.966195","127.0.0.1","127.0.0.1","TCP","44","60331  >  60341 [ACK] Seq=311 Ack=18741 Win=46592 Len=0"
"55","43.971215","127.0.0.1","127.0.0.1","TCP","56","60346  >  60340 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"56","43.971308","127.0.0.1","127.0.0.1","TCP","56","60340  >  60346 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"57","43.971349","127.0.0.1","127.0.0.1","TCP","44","60346  >  60340 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"58","43.982058","127.0.0.1","127.0.0.1","TLSv1.3","306","Application Data"
"59","43.982098","127.0.0.1","127.0.0.1","TCP","44","60332  >  60342 [ACK] Seq=1809 Ack=1252 Win=64256 Len=0"
"60","43.982809","127.0.0.1","127.0.0.1","TCP","56","60347  >  60332 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"61","43.982893","127.0.0.1","127.0.0.1","TCP","56","60332  >  60347 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"62","43.982929","127.0.0.1","127.0.0.1","TCP","44","60347  >  60332 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"63","43.983544","127.0.0.1","127.0.0.1","TLSv1.3","1777","Client Hello"
"64","43.983578","127.0.0.1","127.0.0.1","TCP","44","60332  >  60347 [ACK] Seq=1 Ack=1734 Win=63744 Len=0"
"65","43.984014","127.0.0.1","127.0.0.1","TCP","56","60348  >  60332 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"66","43.984092","127.0.0.1","127.0.0.1","TCP","56","60332  >  60348 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"67","43.984122","127.0.0.1","127.0.0.1","TCP","44","60348  >  60332 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"68","43.984509","127.0.0.1","127.0.0.1","TLSv1.3","1841","Client Hello"
"69","43.984531","127.0.0.1","127.0.0.1","TCP","44","60332  >  60348 [ACK] Seq=1 Ack=1798 Win=63488 Len=0"
"70","43.984809","127.0.0.1","127.0.0.1","TCP","56","60349  >  60332 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"71","43.984876","127.0.0.1","127.0.0.1","TCP","56","60332  >  60349 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"72","43.984905","127.0.0.1","127.0.0.1","TCP","44","60349  >  60332 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"73","43.985244","127.0.0.1","127.0.0.1","TLSv1.3","1809","Client Hello"
"74","43.985262","127.0.0.1","127.0.0.1","TCP","44","60332  >  60349 [ACK] Seq=1 Ack=1766 Win=63744 Len=0"
"75","43.985851","127.0.0.1","127.0.0.1","HTTP","199","HTTP/1.1 200 OK "
"76","43.985880","127.0.0.1","127.0.0.1","TCP","44","60341  >  60331 [ACK] Seq=18741 Ack=466 Win=65024 Len=0"
"77","43.986047","127.0.0.1","127.0.0.1","TLSv1.3","2690","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data, Application Data"
"78","43.986089","127.0.0.1","127.0.0.1","TCP","44","60347  >  60332 [ACK] Seq=1734 Ack=2647 Win=62720 Len=0"
"79","43.987382","127.0.0.1","127.0.0.1","TLSv1.3","108","Change Cipher Spec, Application Data"
"80","43.987411","127.0.0.1","127.0.0.1","TCP","44","60332  >  60347 [ACK] Seq=2647 Ack=1798 Win=63488 Len=0"
"81","43.987562","127.0.0.1","127.0.0.1","TLSv1.3","136","Application Data"
"82","43.987575","127.0.0.1","127.0.0.1","TCP","44","60332  >  60347 [ACK] Seq=2647 Ack=1890 Win=63488 Len=0"
"83","43.987610","127.0.0.1","127.0.0.1","TCP","44","60348  >  60332 [FIN, ACK] Seq=1798 Ack=1 Win=65280 Len=0"
"84","43.987626","127.0.0.1","127.0.0.1","TCP","44","60332  >  60348 [ACK] Seq=1 Ack=1799 Win=63488 Len=0"
"85","43.987705","127.0.0.1","127.0.0.1","TCP","44","60349  >  60332 [FIN, ACK] Seq=1766 Ack=1 Win=65280 Len=0"
"86","43.987718","127.0.0.1","127.0.0.1","TCP","44","60332  >  60349 [ACK] Seq=1 Ack=1767 Win=63744 Len=0"
"87","43.988059","127.0.0.1","127.0.0.1","TLSv1.3","488","Application Data"
"88","43.988075","127.0.0.1","127.0.0.1","TCP","44","60332  >  60347 [ACK] Seq=2647 Ack=2334 Win=62976 Len=0"
"89","43.988102","127.0.0.1","127.0.0.1","TLSv1.3","148","Application Data"
"90","43.988111","127.0.0.1","127.0.0.1","TCP","44","60332  >  60347 [ACK] Seq=2647 Ack=2438 Win=62976 Len=0"
"91","43.988135","127.0.0.1","127.0.0.1","TLSv1.3","186","Application Data"
"92","43.988143","127.0.0.1","127.0.0.1","TCP","44","60332  >  60347 [ACK] Seq=2647 Ack=2580 Win=62720 Len=0"
"93","43.988279","127.0.0.1","127.0.0.1","TLSv1.3","105","Application Data"
"94","43.988302","127.0.0.1","127.0.0.1","TCP","44","60347  >  60332 [ACK] Seq=2580 Ack=2708 Win=62720 Len=0"
"95","43.988324","127.0.0.1","127.0.0.1","TLSv1.3","88","Application Data"
"96","43.988333","127.0.0.1","127.0.0.1","TCP","44","60347  >  60332 [ACK] Seq=2580 Ack=2752 Win=62720 Len=0"
"97","43.988378","127.0.0.1","127.0.0.1","TLSv1.3","75","Application Data"
"98","43.988398","127.0.0.1","127.0.0.1","TLSv1.3","294","Application Data"
"99","43.988415","127.0.0.1","127.0.0.1","TCP","44","60347  >  60332 [ACK] Seq=2611 Ack=3002 Win=62464 Len=0"
"100","43.988457","127.0.0.1","127.0.0.1","TLSv1.3","82","Application Data"
"101","43.988476","127.0.0.1","127.0.0.1","TCP","44","60347  >  60332 [ACK] Seq=2611 Ack=3040 Win=62464 Len=0"
"102","43.988513","127.0.0.1","127.0.0.1","TLSv1.3","138","Application Data"
"103","43.988523","127.0.0.1","127.0.0.1","TCP","44","60347  >  60332 [ACK] Seq=2611 Ack=3134 Win=62208 Len=0"
"104","43.990512","127.0.0.1","127.0.0.1","TLSv1.3","311","Application Data"
"105","43.990546","127.0.0.1","127.0.0.1","TCP","44","60332  >  60347 [ACK] Seq=3134 Ack=2878 Win=62464 Len=0"
"106","43.990579","127.0.0.1","127.0.0.1","TLSv1.3","77","Application Data"
"107","43.990593","127.0.0.1","127.0.0.1","TCP","44","60332  >  60347 [ACK] Seq=3134 Ack=2911 Win=62464 Len=0"
"108","43.990713","127.0.0.1","127.0.0.1","TLSv1.3","2690","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data, Application Data"
"109","43.990787","127.0.0.1","127.0.0.1","TCP","44","60348  >  60332 [RST, ACK] Seq=1799 Ack=2647 Win=0 Len=0"
"110","43.990868","127.0.0.1","127.0.0.1","TLSv1.3","149","Application Data"
"111","43.990884","127.0.0.1","127.0.0.1","TCP","44","60332  >  60347 [ACK] Seq=3134 Ack=3016 Win=62464 Len=0"
"112","43.990933","127.0.0.1","127.0.0.1","TLSv1.3","282","Application Data"
"113","43.990946","127.0.0.1","127.0.0.1","TCP","44","60332  >  60347 [ACK] Seq=3134 Ack=3254 Win=62208 Len=0"
"114","43.990974","127.0.0.1","127.0.0.1","TLSv1.3","451","Application Data"
"115","43.990985","127.0.0.1","127.0.0.1","TCP","44","60332  >  60347 [ACK] Seq=3134 Ack=3661 Win=61696 Len=0"
"116","43.991006","127.0.0.1","127.0.0.1","TLSv1.3","607","Application Data"
"117","43.991018","127.0.0.1","127.0.0.1","TCP","44","60332  >  60347 [ACK] Seq=3134 Ack=4224 Win=61184 Len=0"
"118","43.991062","127.0.0.1","127.0.0.1","TLSv1.3","2690","Server Hello, Change Cipher Spec, Application Data, Application Data, Application Data, Application Data, Application Data"
"119","43.991113","127.0.0.1","127.0.0.1","TCP","44","60349  >  60332 [RST, ACK] Seq=1767 Ack=2647 Win=0 Len=0"
"120","43.992304","127.0.0.1","127.0.0.1","TLSv1.3","147","Application Data"
"121","43.992335","127.0.0.1","127.0.0.1","TCP","44","60347  >  60332 [ACK] Seq=4224 Ack=3237 Win=62208 Len=0"
"122","43.993814","127.0.0.1","127.0.0.1","TLSv1.3","617","Application Data"
"123","43.993856","127.0.0.1","127.0.0.1","TCP","44","60347  >  60332 [ACK] Seq=4224 Ack=3810 Win=61696 Len=0"
"124","43.999233","127.0.0.1","127.0.0.1","TLSv1.3","84","Application Data"
"125","43.999273","127.0.0.1","127.0.0.1","TCP","44","60347  >  60332 [ACK] Seq=4224 Ack=3850 Win=61440 Len=0"
"126","43.999376","127.0.0.1","127.0.0.1","TLSv1.3","5831","Application Data"
"127","43.999443","127.0.0.1","127.0.0.1","TCP","44","60347  >  60332 [ACK] Seq=4224 Ack=9637 Win=55808 Len=0"
"128","43.999515","127.0.0.1","127.0.0.1","TLSv1.3","75","Application Data"
"129","43.999534","127.0.0.1","127.0.0.1","TCP","44","60347  >  60332 [ACK] Seq=4224 Ack=9668 Win=55808 Len=0"
"130","43.999845","127.0.0.1","127.0.0.1","TCP","56","60350  >  60333 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"131","43.999950","127.0.0.1","127.0.0.1","TCP","56","60333  >  60350 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"132","43.999998","127.0.0.1","127.0.0.1","TCP","44","60350  >  60333 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"133","44.000424","127.0.0.1","127.0.0.1","TCP","56","60351  >  60333 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"134","44.000510","127.0.0.1","127.0.0.1","TCP","56","60333  >  60351 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"135","44.000543","127.0.0.1","127.0.0.1","TCP","44","60351  >  60333 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"136","44.000760","127.0.0.1","127.0.0.1","TLSv1.3","75","Application Data"
"137","44.000797","127.0.0.1","127.0.0.1","TCP","44","60332  >  60342 [ACK] Seq=1809 Ack=1283 Win=64000 Len=0"
"138","44.001578","127.0.0.1","127.0.0.1","TCP","68","60346  >  60340 [PSH, ACK] Seq=1 Ack=1 Win=65280 Len=24"
"139","44.001607","127.0.0.1","127.0.0.1","TCP","44","60340  >  60346 [ACK] Seq=1 Ack=25 Win=65280 Len=0"
"140","44.001725","127.0.0.1","127.0.0.1","TCP","5967","60346  >  60340 [PSH, ACK] Seq=25 Ack=1 Win=65280 Len=5923"
"141","44.001755","127.0.0.1","127.0.0.1","TCP","44","60340  >  60346 [ACK] Seq=1 Ack=5948 Win=59392 Len=0"
"142","44.003647","127.0.0.1","127.0.0.1","TLSv1.3","109","Application Data"
"143","44.003685","127.0.0.1","127.0.0.1","TCP","44","60342  >  60332 [ACK] Seq=1283 Ack=1874 Win=63488 Len=0"
"144","44.003764","127.0.0.1","127.0.0.1","TLSv1.3","113","Application Data"
"145","44.003779","127.0.0.1","127.0.0.1","TCP","44","60342  >  60332 [ACK] Seq=1283 Ack=1943 Win=63488 Len=0"
"146","44.005367","127.0.0.1","127.0.0.1","TCP","67","60340  >  60346 [PSH, ACK] Seq=1 Ack=5948 Win=59392 Len=23"
"147","44.005398","127.0.0.1","127.0.0.1","TCP","44","60346  >  60340 [ACK] Seq=5948 Ack=24 Win=65280 Len=0"
"148","44.005415","127.0.0.1","127.0.0.1","TCP","255","60340  >  60346 [PSH, ACK] Seq=24 Ack=5948 Win=59392 Len=211"
"149","44.005424","127.0.0.1","127.0.0.1","TCP","44","60346  >  60340 [ACK] Seq=5948 Ack=235 Win=65280 Len=0"
"150","44.006555","127.0.0.1","127.0.0.1","HTTP","524","GET /proxy/unleash/client/features HTTP/1.1 "
"151","44.006596","127.0.0.1","127.0.0.1","TCP","44","60333  >  60350 [ACK] Seq=1 Ack=481 Win=65024 Len=0"
"152","44.006765","127.0.0.1","127.0.0.1","HTTP/JSON","1030","POST /proxy/unleash/client/register HTTP/1.1 , JSON (application/json)"
"153","44.006791","127.0.0.1","127.0.0.1","TCP","44","60333  >  60351 [ACK] Seq=1 Ack=987 Win=64512 Len=0"
"154","44.036426","127.0.0.1","127.0.0.1","TCP","66","60346  >  60340 [PSH, ACK] Seq=5948 Ack=235 Win=65280 Len=22"
"155","44.036470","127.0.0.1","127.0.0.1","TCP","44","60340  >  60346 [ACK] Seq=235 Ack=5970 Win=59392 Len=0"
"156","44.036538","127.0.0.1","127.0.0.1","TCP","96","60346  >  60340 [PSH, ACK] Seq=5970 Ack=235 Win=65280 Len=52"
"157","44.036557","127.0.0.1","127.0.0.1","TCP","44","60340  >  60346 [ACK] Seq=235 Ack=6022 Win=59392 Len=0"
"158","44.041621","127.0.0.1","127.0.0.1","TCP","68","60346  >  60340 [PSH, ACK] Seq=6022 Ack=235 Win=65280 Len=24"
"159","44.041663","127.0.0.1","127.0.0.1","TCP","44","60340  >  60346 [ACK] Seq=235 Ack=6046 Win=59392 Len=0"
"160","44.041739","127.0.0.1","127.0.0.1","TCP","9014","60346  >  60340 [PSH, ACK] Seq=6046 Ack=235 Win=65280 Len=8970"
"161","44.041776","127.0.0.1","127.0.0.1","TCP","44","60340  >  60346 [ACK] Seq=235 Ack=15016 Win=50432 Len=0"
"162","44.041875","127.0.0.1","127.0.0.1","TCP","67","60346  >  60340 [PSH, ACK] Seq=15016 Ack=235 Win=65280 Len=23"
"163","44.041889","127.0.0.1","127.0.0.1","TCP","44","60340  >  60346 [ACK] Seq=235 Ack=15039 Win=50432 Len=0"
"164","44.041925","127.0.0.1","127.0.0.1","TCP","315","60346  >  60340 [PSH, ACK] Seq=15039 Ack=235 Win=65280 Len=271"
"165","44.041938","127.0.0.1","127.0.0.1","TCP","44","60340  >  60346 [ACK] Seq=235 Ack=15310 Win=50176 Len=0"
"166","44.042123","127.0.0.1","127.0.0.1","TCP","68","60346  >  60340 [PSH, ACK] Seq=15310 Ack=235 Win=65280 Len=24"
"167","44.042136","127.0.0.1","127.0.0.1","TCP","44","60340  >  60346 [ACK] Seq=235 Ack=15334 Win=50176 Len=0"
"168","44.042228","127.0.0.1","127.0.0.1","TCP","8770","60346  >  60340 [PSH, ACK] Seq=15334 Ack=235 Win=65280 Len=8726"
"169","44.042259","127.0.0.1","127.0.0.1","TCP","44","60340  >  60346 [ACK] Seq=235 Ack=24060 Win=41472 Len=0"
"170","44.264623","127.0.0.1","127.0.0.1","TLSv1.3","259","Application Data"
"171","44.264662","127.0.0.1","127.0.0.1","TCP","44","60347  >  60332 [ACK] Seq=4224 Ack=9883 Win=55552 Len=0"
"172","44.264729","127.0.0.1","127.0.0.1","TLSv1.3","10407","Application Data"
"173","44.264751","127.0.0.1","127.0.0.1","TCP","44","60347  >  60332 [ACK] Seq=4224 Ack=20246 Win=45056 Len=0"
"174","44.264803","127.0.0.1","127.0.0.1","TLSv1.3","75","Application Data"
"175","44.264815","127.0.0.1","127.0.0.1","TCP","44","60347  >  60332 [ACK] Seq=4224 Ack=20277 Win=45056 Len=0"
"176","44.269593","127.0.0.1","127.0.0.1","QUIC","1282","Initial, DCID=0e2c7b2f130b7d4f, PKN: 1, PING, PING, CRYPTO, PADDING, CRYPTO, CRYPTO, PADDING, PING, CRYPTO, PADDING, PING, CRYPTO, PING, PADDING, PING, PADDING, CRYPTO, PING, PADDING, PING, PADDING"
"177","44.269625","127.0.0.1","127.0.0.1","ICMP","580","Destination unreachable (Port unreachable)"
"178","44.269672","127.0.0.1","127.0.0.1","QUIC","1282","Initial, DCID=0e2c7b2f130b7d4f, PKN: 2, CRYPTO, PING, CRYPTO, PING, CRYPTO, CRYPTO, PADDING, CRYPTO, PING, PADDING, PING, PADDING, PING, CRYPTO, CRYPTO, CRYPTO, PADDING, CRYPTO, CRYPTO, PING, CRYPTO"
"179","44.269685","127.0.0.1","127.0.0.1","ICMP","580","Destination unreachable (Port unreachable)"
"180","44.270120","127.0.0.1","127.0.0.1","TLSv1.3","122","Application Data"
"181","44.270144","127.0.0.1","127.0.0.1","TCP","44","60332  >  60347 [ACK] Seq=20277 Ack=4302 Win=61184 Len=0"
"182","44.270315","127.0.0.1","127.0.0.1","TLSv1.3","82","Application Data"
"183","44.270328","127.0.0.1","127.0.0.1","TCP","44","60347  >  60332 [ACK] Seq=4302 Ack=20315 Win=45056 Len=0"
"184","44.271308","127.0.0.1","127.0.0.1","TLSv1.3","125","Application Data"
"185","44.271326","127.0.0.1","127.0.0.1","TCP","44","60332  >  60347 [ACK] Seq=20315 Ack=4383 Win=60928 Len=0"
"186","44.271346","127.0.0.1","127.0.0.1","TLSv1.3","694","Application Data"
"187","44.271359","127.0.0.1","127.0.0.1","TCP","44","60332  >  60347 [ACK] Seq=20315 Ack=5033 Win=60416 Len=0"
"188","44.279453","127.0.0.1","127.0.0.1","TCP","1100","60333  >  60350 [PSH, ACK] Seq=1 Ack=481 Win=65024 Len=1056 [TCP PDU reassembled in 206]"
"189","44.279486","127.0.0.1","127.0.0.1","TCP","44","60350  >  60333 [ACK] Seq=481 Ack=1057 Win=64256 Len=0"
"190","44.279540","127.0.0.1","127.0.0.1","TCP","4140","60333  >  60350 [PSH, ACK] Seq=1057 Ack=481 Win=65024 Len=4096 [TCP PDU reassembled in 206]"
"191","44.279558","127.0.0.1","127.0.0.1","TCP","44","60350  >  60333 [ACK] Seq=481 Ack=5153 Win=60160 Len=0"
"192","44.279574","127.0.0.1","127.0.0.1","TCP","9316","60333  >  60350 [PSH, ACK] Seq=5153 Ack=481 Win=65024 Len=9272 [TCP PDU reassembled in 206]"
"193","44.279595","127.0.0.1","127.0.0.1","TCP","44","60350  >  60333 [ACK] Seq=481 Ack=14425 Win=50944 Len=0"
"194","44.376138","127.0.0.1","127.0.0.1","TCP","4140","60333  >  60350 [PSH, ACK] Seq=14425 Ack=481 Win=65024 Len=4096 [TCP PDU reassembled in 206]"
"195","44.376188","127.0.0.1","127.0.0.1","TCP","44","60350  >  60333 [ACK] Seq=481 Ack=18521 Win=46848 Len=0"
"196","44.376210","127.0.0.1","127.0.0.1","TCP","8448","60333  >  60350 [PSH, ACK] Seq=18521 Ack=481 Win=65024 Len=8404 [TCP PDU reassembled in 206]"
"197","44.376229","127.0.0.1","127.0.0.1","TCP","44","60350  >  60333 [ACK] Seq=481 Ack=26925 Win=38400 Len=0"
"198","44.408549","127.0.0.1","127.0.0.1","TCP","4140","60333  >  60350 [PSH, ACK] Seq=26925 Ack=481 Win=65024 Len=4096 [TCP PDU reassembled in 206]"
"199","44.408590","127.0.0.1","127.0.0.1","TCP","44","60350  >  60333 [ACK] Seq=481 Ack=31021 Win=34304 Len=0"
"200","44.408615","127.0.0.1","127.0.0.1","TCP","11216","60333  >  60350 [PSH, ACK] Seq=31021 Ack=481 Win=65024 Len=11172 [TCP PDU reassembled in 206]"
"201","44.408636","127.0.0.1","127.0.0.1","TCP","44","60350  >  60333 [ACK] Seq=481 Ack=42193 Win=65280 Len=0"
"202","44.421946","127.0.0.1","127.0.0.1","TCP","4140","60333  >  60350 [PSH, ACK] Seq=42193 Ack=481 Win=65024 Len=4096 [TCP PDU reassembled in 206]"
"203","44.421985","127.0.0.1","127.0.0.1","TCP","44","60350  >  60333 [ACK] Seq=481 Ack=46289 Win=61184 Len=0"
"204","44.422003","127.0.0.1","127.0.0.1","TCP","4495","60333  >  60350 [PSH, ACK] Seq=46289 Ack=481 Win=65024 Len=4451 [TCP PDU reassembled in 206]"
"205","44.422025","127.0.0.1","127.0.0.1","TCP","44","60350  >  60333 [ACK] Seq=481 Ack=50740 Win=56832 Len=0"
"206","44.422050","127.0.0.1","127.0.0.1","HTTP/JSON","51","HTTP/1.1 200 OK , JSON (application/json)"
"207","44.422060","127.0.0.1","127.0.0.1","TCP","44","60350  >  60333 [ACK] Seq=481 Ack=50747 Win=56832 Len=0"
"208","44.422151","127.0.0.1","127.0.0.1","TCP","44","60333  >  60350 [FIN, ACK] Seq=50747 Ack=481 Win=65024 Len=0"
"209","44.422172","127.0.0.1","127.0.0.1","TCP","44","60350  >  60333 [ACK] Seq=481 Ack=50748 Win=56832 Len=0"
"210","44.441866","127.0.0.1","127.0.0.1","TCP","44","60350  >  60333 [FIN, ACK] Seq=481 Ack=50748 Win=56832 Len=0"
"211","44.441945","127.0.0.1","127.0.0.1","TCP","44","60333  >  60350 [ACK] Seq=50748 Ack=482 Win=65024 Len=0"
